Player ,Grade,Position,Team,Year ,ConfStanding,c,po,a,e,fp,dp,sba,csb,sbap,pb,ci,GoldGlove
Aramovich,Fr,P,ASU,2013,7,11,1,8,2,0.818,0,13,2,0.867,0,0,No
Bollig,Fr,INF,ASU,2013,7,111,40,53,18,0.838,12,0,0,0,0,0,No
English,Fr,P,ASU,2013,7,10,1,8,1,0.9,1,17,6,0.739,0,0,No
Granzella,Fr,OF,ASU,2013,7,109,102,0,7,0.936,0,0,0,0,0,0,No
Jones,Fr,OF,ASU,2013,7,3,3,0,0,1,0,0,0,0,0,0,No
Moldenhauer,Fr,C,ASU,2013,7,46,43,3,0,1,0,21,1,0.955,2,0,No
Morley,Fr,OF,ASU,2013,7,92,87,1,4,0.957,0,0,0,0,0,0,No
Nutsch,Fr,INF,ASU,2013,7,27,8,16,3,0.889,3,1,0,1,0,0,No
Richardson,Fr,P,ASU,2013,7,11,3,8,0,1,1,8,4,0.667,0,0,No
Thurston,Fr,INF,ASU,2013,7,198,77,108,13,0.934,24,0,0,0,0,0,No
Tiernan,Fr,C,ASU,2013,7,67,49,16,2,0.97,0,23,10,0.697,6,0,No
Wells,Fr,INF,ASU,2013,7,155,139,13,3,0.981,11,0,0,0,0,0,No
Wiemers,Fr,P,ASU,2013,7,8,2,6,0,1,0,7,3,0.7,0,0,No
Wilson,Fr,INF,ASU,2013,7,13,3,8,2,0.846,3,0,1,0,0,0,No
Garmendia,Fr,INF,ASU,2014,6,153,37,96,20,0.869,13,0,0,0,0,0,No
Heaton,Fr,OF,ASU,2014,6,3,3,0,0,1,0,0,0,0,0,0,No
Sherry,Fr,P,ASU,2014,6,1,0,1,0,1,0,3,3,0.5,0,0,No
April,Fr,C, ASU ,2015,4,10 ,8 ,1 ,1 ,.900 ,0 ,3 ,0 ,1.000 ,0 ,0 ,No
Garcia,Fr,P, ASU ,2015,4,3 ,2 ,1 ,0 ,1.000 ,0 ,2 ,3 ,.400 ,0 ,0 ,No
Keaton,Fr,INF, ASU ,2015,4,4 ,0 ,3 ,1 ,.750 ,0 ,3 ,1 ,.750 ,0 ,0 ,No
Ryan,Fr,C, ASU ,2016,4,2 ,2 ,0 ,0 ,1.000 ,0 ,0 ,0 ,0 ,0 ,0 ,No
Aker,Fr,P, ASU ,2017,9,4 ,1 ,3 ,0 ,1.000 ,1 ,1 ,0 ,1.000 ,0 ,0 ,No
Brown,Fr,INF, ASU ,2017,9,0 ,0 ,0 ,0 ,.000 ,0 ,0 ,0 ,0 ,0 ,0 ,No
Hildebrandt,Fr,INF, ASU ,2017,9,30 ,13 ,13 ,4 ,.867 ,2 ,0 ,0 ,0 ,0 ,0 ,No
Maldonado,Fr,P, ASU ,2017,9,12 ,10 ,2 ,0 ,1.000 ,1 ,0 ,0 ,0 ,0 ,0 ,No
Ryan,Fr,C, ASU ,2017,9,4 ,4 ,0 ,0 ,1.000 ,0 ,0 ,0 ,0 ,0 ,0 ,No
Batt,Fr,C,CCU,2013,8,106,99,5,2,0.981,1,50,4,0.926,8,0,No
